constituentid	displayname	nationality	gender	begindate	enddate
16429	James Barton Longacre	American		1794.0	1869.0
107	Christian Gobrecht	American		1785.0	1844.0
108	Bela Lyon Pratt	American		1867.0	1917.0
16459	James Gillinder and Sons	American		1861.0	1930.0
108316253	Paulding Farnham|Tiffany & Co.	American|	|	1859.0	1927.0
16428	Pierre Stephan	French		1765.0	1795.0
16258	Union Glass Company	American			
16605	John Bailey	American		1736.0	1815.0
109	James Davis	American		1803.0	1828.0
937	Revere and Son	American		1787.0	
16230	Paul Revere Jr.	American		1734.0	1818.0
16254216254	Louis C. Tiffany|Tiffany Glass and Decorating Company	American|American	|	1848.0	1933.0
16272	Stanford White	American		1853.0	1906.0
16254	Louis C. Tiffany	American		1848.0	1933.0
8737	United Society of Believers in Christ’s Second Appearing (“Shakers”)	American		1750.0	
16237	John Singer Sargent	American		1856.0	1925.0
938	John Gaines III	American		1704.0	1743.0
110	Wood and Hughes	American		1845.0	1899.0
345	Gustave Herter	German (Stuttgart, principality of Württemberg)		1830.0	1898.0
16520	J. S. Ford, Johnson and Company	American		1867.0	1902.0
16475	Heywood Brothers and Wakefield Company	American		1897.0	1921.0
111	George Jakob Hunzinger	American		1835.0	1898.0
133	Charles-Honoré Lannuier	American		1779.0	1819.0
16381	Pottier and Stymus Manufacturing Company			1858.0	1919.0
16276	Frank Lloyd Wright	American		1867.0	1959.0
112	John Jelliff	American		1813.0	1893.0
16497	Joseph Meeks & Sons	American		1829.0	1835.0
110321528	John Henry Belter|J. H. Belter & Co.	American|	|	1804.0	1863.0
215281110	J. H. Belter & Co.|John Henry Belter	|American	|	1854.0	1865.0
16288	Archer and Warner	American			
162541353	Tiffany Studios|Agnes F. Northrop	|American	|Female	1902.0	1932.0
113	Thomas Danforth Boardman	American		1784.0	1873.0
16249	Louis Henry Sullivan	American		1856.0	1924.0
16515616249	Winslow Brothers Company|Louis Henry Sullivan	American|American	|	1856.0	1924.0
16249317803	Louis Henry Sullivan|Dankmar Adler	American|American	|	1856.0	1924.0
162493113417803	Louis Henry Sullivan|Yale and Towne Manufacturing Company|Dankmar Adler	American|American|American	||	1856.0	1924.0
114	Samuel Danforth	American		1774.0	1816.0
1147114	Samuel Hamlin|Samuel Ely Hamlin	American|American	|	1746.0	1801.0
115	George Lightner	American		1749.0	1815.0
1154115	Joseph Leddel Sr.|Joseph Leddel Jr.	American|American	|	1690.0	1754.0
1159739	Bailey and Kitchen|Taylor and Lawrie	American|	|	1830.0	1846.0
116	Jurian Blanck Jr.	American		1645.0	1714.0
1130116	Thomas Danforth Boardman|Sherman Boardman	American|American	|	1784.0	1873.0
738	Timothy Boardman	American		1798.0	1825.0
117	Ashbil Griswold	American		1784.0	1853.0
1173117	John Hull|Robert Sanderson Sr.	American|	|	1624.0	1683.0
118	David Moseley	American		1752.0	1812.0
119	Benjamin Wynkoop	American		1675.0	1751.0
755	Jacob Jacobse Lansing	American		1714.0	1791.0
730	Parker Pottery	American			
1192174616222311149447	Thomas Seymour|John Doggett|John Ritto Penniman|Samuel McIntire|Thomas Wightman	American|American|American|American|American	||||	1771.0	1848.0
16254116254	Tiffany Studios|Louis C. Tiffany	|American	|	1902.0	1932.0
1199440	Jacques Thouron|Weyller	|	|		
16427	Jean-Baptiste Nini	Italian		1717.0	1786.0
1201110	Isaac Broome|Ott and Brewer	American|American	|	1835.0	1922.0
16332	Jean Jacques Caffiéri	French		1725.0	1792.0
120	Pierre Joseph Chardigny			1794.0	1866.0
16270	Josiah Wedgwood and Sons	British		1759.0	
121	J. and W. Moir	American		1795.0	1895.0
163524121	George Edward Eyre|William Spottiswoode	British|	|	1818.0	1887.0
16476	Hodge and Campbell	American			
1216121	Pieter Keur|Pieter Rotterdam and Company	|	|		
1219122	Henrich Dulhauer|Johann Heinrich Otto	American|American	|	1730.0	1800.0
122	Friederich Krebs	American		1765.0	1815.0
439	Lambeth Factories				
123	Wistarburgh Glassworks	American			
1151123	Lyman, Fenton & Co.|Daniel Greatbatch	American|British	|	1849.0	1849.0
1233115	Daniel Greatbatch|Lyman, Fenton & Co.	British|American	|	1838.0	1838.0
18713	Master Potter A				
7449144	Redford Crown Glass Works|Redwood Glass Company	American|American	|	1831.0	1831.0
16314	Ephraim Brasher	American		1744.0	1810.0
124	Cristalleries de Saint-Louis				
124217742	Eoff and Phyfe|Baldwin & Co.	|American	|	1841.0	1850.0
1247124	Jervis Pottery|William P. Jervis	American|American, born England	|	1908.0	1912.0
125	Jesse Kip	American		1660.0	1722.0
16494	Marcus and Co.	American		1892.0	1942.0
1254123	Clara Chipman Newton|Ceramic Art Company, Trenton, New Jersey	|American	Female|	1848.0	1936.0
125816512	Kataro Shirayamadani|Rookwood Pottery Company	American, born Japan|American	|	1865.0	1948.0
126	Stevens and Williams				
162542363	Louis C. Tiffany|Tiffany Furnaces	American|American	|	1848.0	1933.0
16254016254	Tiffany Glass and Decorating Company|Louis C. Tiffany	American|American	|	1892.0	1902.0
162542162540414	Louis C. Tiffany|Tiffany Glass and Decorating Company|Stourbridge Glass Company	American|American|American	||	1848.0	1933.0
16259416512	Albert R. Valentien|Rookwood Pottery Company	American|American	|	1862.0	1925.0
87377126	United Society of Believers in Christ’s Second Appearing (“Shakers”)|Isaac N. Youngs	American|	|	1750.0	1865.0
16194	Gorham Manufacturing Company	American		1831.0	
127	Union Porcelain Works	American		1863.0	1922.0
160	C. Dorflinger and Sons	American		1881.0	1921.0
162540414216254	Tiffany Glass and Decorating Company|Stourbridge Glass Company|Louis C. Tiffany	American|American|American	||	1892.0	1902.0
16554	Charles Nicolas Cochin II	French		1715.0	1790.0
16555	Joseph Siffred Duplessis	French		1725.0	1802.0
16253	Tiffany & Co.			1837.0	
16277	Marie Zimmermann	American	Female	1879.0	1972.0
431	Seraphim Masi	American		1819.0	1852.0
16431	Jervis McEntee	American		1828.0	1891.0
128	Stephen Van Wyck	American			
1282108	Henry Leighton|New England Glass Company	American|American	|	1818.0	1888.0
163822128	Augustus Welby Northmore Pugin|Minton and Company	British|American	|	1812.0	1852.0
16276516513	Frank Lloyd Wright|Noritake	American|	|	1867.0	1959.0
16513516276	Noritake|Frank Lloyd Wright	|American	|	1904.0	1959.0
1289162539129016236	James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens	| |American|American	|||	1833.0	1902.0
16246	Theodore B. Starr	American		1837.0	1907.0
16254216254016254	Louis C. Tiffany|Tiffany Glass and Decorating Company|Tiffany Studios	American|American|	||	1848.0	1933.0
129	John Townsend	American		1732.0	1809.0
161949111	Gorham Manufacturing Company|George Washington Maher	American|American	|	1831.0	1926.0
130	Daniel Pabst	American, born Germany		1826.0	1910.0
1302130	Beth Benton Sutherland|Izabel M. Coles	American|	Female|	1898.0	1972.0
16537	James Tassie	British, Scottish		1735.0	1799.0
